#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Parate,Clean Sheet,Goal Subiti,Rig Parati,Rig Subiti
454,S. Romagnoli,Dif,LEC,36.10,5.00,-1.50,7,1,164,0,0,4,0,0
463,M. Oikonomou,Dif,SAM,26.90,6.00,-0.60,6,3,219,0,0,6,0,0
466,F. Missori,Dif,ROM,24.90,4.90,-0.20,3,2,181,0,1,2,0,0
468,J. Hendry,Dif,CRE,24.50,7.10,-3.60,4,2,218,0,0,5,0,0
469,Mario Gila,Dif,LAZ,24.40,6.30,-4.00,4,0,86,0,0,2,0,0
472,Salvador Ferrer,Dif,SPE,23.40,4.70,-3.60,5,0,130,0,0,3,0,1
473,J. Sala,Dif,SPE,22.70,4.00,-1.90,6,1,108,0,0,4,0,0
475,F. Carboni,Dif,MON,20.80,4.80,-1.70,3,0,63,0,0,0,0,0
476,T. Barbieri,Dif,JUV,20.10,4.80,-0.30,3,2,109,0,0,2,0,1
478,Joao Moutinho,Dif,SPE,19.00,5.30,-2.30,4,0,57,0,0,2,0,0
481,L. Marrone,Dif,MON,15.90,4.40,-3.70,2,2,135,0,0,4,0,0
484,J. Abankwah,Dif,UDI,13.40,4.00,-0.30,2,1,63,0,0,0,0,0
488,P. Ceccaroni,Dif,LEC,11.00,6.20,-1.80,2,0,41,0,0,1,0,0
489,F. Romagna,Dif,SAS,7.70,4.00,-0.30,2,0,46,0,0,3,0,0
490,M. Muldur,Dif,SAS,7.60,5.50,-3.90,2,1,13,0,0,0,0,0
495,T. Cassandro,Dif,LEC,4.60,4.10,-2.00,1,0,12,0,0,0,0,0
496,S. Radu,Dif,LAZ,4.10,4.00,-2.00,1,0,1,0,0,0,0,0
498,D. Zeefuik,Dif,VER,3.00,5.80,-2.10,1,0,9,0,0,1,0,0
499,K. Dermaku,Dif,LEC,2.50,4.90,-3.90,1,0,33,0,0,1,0,0
500,A. Conti,Dif,SAM,1.70,4.00,-2.80,1,0,22,0,0,1,0,0
508,M. Fares,Dif,LAZ,0.00,4.00,-1.30,0,0,0,0,0,0,0,0
517,D. Keramitsis,Dif,ROM,0.00,4.30,-0.30,0,0,0,0,0,0,0,0
521,M. Lemmens,Dif,LEC,0.00,4.00,-0.20,0,0,0,0,0,0,0,0
522,R. Nizet,Dif,LEC,0,4.00,-0.20,0,0,0,0,0,0,0,0
524,L. Tonelli,Dif,EMP,-6.40,4.00,-3.20,1,0,18,0,0,2,0,0
